Terraform name,Article,Singular,Plural,User Guide link,API documentation link
access_key,an,access key,access keys,https://docs.outscale.com/en/userguide/About-Access-Keys.html,https://docs.outscale.com/api#3ds-outscale-api-accesskey
ca,a,CA,CAs,https://docs.outscale.com/en/userguide/About-API-Access-Rules.html,https://docs.outscale.com/api#3ds-outscale-api-ca
api_access_policy,an,API access policy,API access policies,https://docs.outscale.com/en/userguide/About-Your-API-Access-Policy.html,https://docs.outscale.com/api#readapiaccesspolicy
client_gateway,a,client gateway,client gateways,https://docs.outscale.com/en/userguide/About-Customer-Gateways.html,https://docs.outscale.com/api#3ds-outscale-api-clientgateway
dhcp_option,a,DHCP option,DHCP options,https://docs.outscale.com/en/userguide/About-DHCP-Options.html,https://docs.outscale.com/api#3ds-outscale-api-dhcpoption
flexible_gpu,a,flexible GPU,flexible GPUs,https://docs.outscale.com/en/userguide/About-Flexible-GPUs.html,https://docs.outscale.com/api#3ds-outscale-api-flexiblegpu
flexible_gpu_catalog,a,flexible GPU catalog,the flexible GPU catalog,https://docs.outscale.com/en/userguide/About-Flexible-GPUs.html,https://docs.outscale.com/api#readflexiblegpucatalog
flexible_gpu_link,a,flexible GPU link,flexible GPU links,https://docs.outscale.com/en/userguide/About-Flexible-GPUs.html,https://docs.outscale.com/api#3ds-outscale-api-flexiblegpu
image_export_task,an,image export task,image export tasks,https://docs.outscale.com/en/userguide/About-OMIs.html,https://docs.outscale.com/api#3ds-outscale-api-image
image_launch_permission,an,image launch permission,image launch permissions,https://docs.outscale.com/en/userguide/About-OMIs.html,https://docs.outscale.com/api#updateimage
image,an,image,images,https://docs.outscale.com/en/userguide/About-OMIs.html,https://docs.outscale.com/api#3ds-outscale-api-image
internet_service_link,an,Internet service link,Internet service links,https://docs.outscale.com/en/userguide/About-Internet-Gateways.html,https://docs.outscale.com/api#3ds-outscale-api-internetservice
internet_service,an,Internet service,Internet services,https://docs.outscale.com/en/userguide/About-Internet-Gateways.html,https://docs.outscale.com/api#3ds-outscale-api-internetservice
keypair,a,keypair,keypairs,https://docs.outscale.com/en/userguide/About-Keypairs.html,https://docs.outscale.com/api#3ds-outscale-api-keypair
load_balancer_attributes,a,load balancer attribute,load balancer attributes,https://docs.outscale.com/en/userguide/About-Load-Balancers.html,https://docs.outscale.com/api#updateloadbalancer
load_balancer_listener_rule,a,load balancer listener rule,load balancer listener rules,https://docs.outscale.com/en/userguide/About-Load-Balancers.html,https://docs.outscale.com/api#3ds-outscale-api-listener
load_balancer_listener,a,load balancer listener,load balancer listeners,https://docs.outscale.com/en/userguide/About-Load-Balancers.html,https://docs.outscale.com/api#3ds-outscale-api-listener
load_balancer_policy,a,load balancer policy,load balancer policies,https://docs.outscale.com/en/userguide/About-Load-Balancers.html,https://docs.outscale.com/api#3ds-outscale-api-loadbalancerpolicy
load_balancer_vm_health,a,load balancer VM health,the health of one or more back-end VMs registered with a specific load balancer,https://docs.outscale.com/en/userguide/About-Load-Balancers.html,https://docs.outscale.com/api#readvmshealth
load_balancer_vms,a,load balancer VM,load balancer VMs,https://docs.outscale.com/en/userguide/About-Load-Balancers.html,https://docs.outscale.com/api#3ds-outscale-api-loadbalancer
load_balancer,a,load balancer,load balancers,https://docs.outscale.com/en/userguide/About-Load-Balancers.html,https://docs.outscale.com/api#3ds-outscale-api-loadbalancer
nat_service,a,NAT service,NAT services,https://docs.outscale.com/en/userguide/About-NAT-Gateways.html,https://docs.outscale.com/api#3ds-outscale-api-natservice
net_access_point,a,Net access point,Net access points,https://docs.outscale.com/en/userguide/About-VPC-Endpoints.html,https://docs.outscale.com/api#3ds-outscale-api-netaccesspoint
net_access_point_service,a,Net access point service,Net access point services,https://docs.outscale.com/en/userguide/About-VPC-Endpoints.html,https://docs.outscale.com/api#3ds-outscale-api-netaccesspoint
net_attribute,a,Net attributes,the attributes of a Net,https://docs.outscale.com/en/userguide/About-DHCP-Options.html,https://docs.outscale.com/api#updatenet
net_attributes,a,Net attributes,the attributes of a Net,https://docs.outscale.com/en/userguide/About-DHCP-Options.html,https://docs.outscale.com/api#updatenet
net_peering_acceptation,a,Net peering acceptation,Net peering acceptations,https://docs.outscale.com/en/userguide/About-VPC-Peering-Connections.html,https://docs.outscale.com/api#3ds-outscale-api-netpeering
net_peering,a,Net peering,Net peerings,https://docs.outscale.com/en/userguide/About-VPC-Peering-Connections.html,https://docs.outscale.com/api#3ds-outscale-api-netpeering
net,a,Net,Nets,https://docs.outscale.com/en/userguide/About-VPCs.html,https://docs.outscale.com/api#3ds-outscale-api-net
nic_link,a,NIC link,NIC links,https://docs.outscale.com/en/userguide/About-FNIs.html,https://docs.outscale.com/api#3ds-outscale-api-nic
nic_private_ip,a,NIC's private IPs,NIC private IPs,https://docs.outscale.com/en/userguide/About-FNIs.html,https://docs.outscale.com/api#3ds-outscale-api-nic
nic,a,network interface card (NIC),network interface cards (NICs),https://docs.outscale.com/en/userguide/About-FNIs.html,https://docs.outscale.com/api#3ds-outscale-api-nic
product_type,a,product type,product types,https://docs.outscale.com/en/userguide/Software-Licenses.html,https://docs.outscale.com/api#3ds-outscale-api-producttype
public_ip_link,a,public IP link,public IP links,https://docs.outscale.com/en/userguide/About-EIPs.html,https://docs.outscale.com/api#3ds-outscale-api-publicip
public_ip,a,public IP,public IPs,https://docs.outscale.com/en/userguide/About-EIPs.html,https://docs.outscale.com/api#3ds-outscale-api-publicip
quota,a,quota,quotas,https://docs.outscale.com/en/userguide/About-Your-Account.html,https://docs.outscale.com/api#readquotas
region,a,Region,Regions,https://docs.outscale.com/en/userguide/About-Regions-Endpoints-and-Availability-Zones.html,https://docs.outscale.com/api#readregions
route_table_link,a,route table link,route table links,https://docs.outscale.com/en/userguide/About-Route-Tables.html,https://docs.outscale.com/api#3ds-outscale-api-routetable
route_table,a,route table,route tables,https://docs.outscale.com/en/userguide/About-Route-Tables.html,https://docs.outscale.com/api#3ds-outscale-api-routetable
route,a,route,routes,https://docs.outscale.com/en/userguide/About-Route-Tables.html,https://docs.outscale.com/api#3ds-outscale-api-route
security_group_rule,a,security group rule,security group rules,https://docs.outscale.com/en/userguide/About-Security-Group-Rules.html,https://docs.outscale.com/api#3ds-outscale-api-securitygrouprule
security_group,a,security group,security groups,https://docs.outscale.com/en/userguide/About-Security-Groups.html,https://docs.outscale.com/api#3ds-outscale-api-securitygroup
server_certificate,a,server certificate,server certificates,https://docs.outscale.com/en/userguide/About-Server-Certificates-in-EIM.html,https://docs.outscale.com/api#3ds-outscale-api-servercertificate
snapshot_attributes,a,snapshot attribute,snapshot attributes,https://docs.outscale.com/en/userguide/About-Snapshots.html,https://docs.outscale.com/api#updatesnapshot
snapshot_export_task,a,snapshot export task,snapshot export tasks,https://docs.outscale.com/en/userguide/About-Snapshots.html,https://docs.outscale.com/api#3ds-outscale-api-snapshot
snapshot,a,snapshot,snapshots,https://docs.outscale.com/en/userguide/About-Snapshots.html,https://docs.outscale.com/api#3ds-outscale-api-snapshot
subnet,a,Subnet,Subnets,https://docs.outscale.com/en/userguide/About-VPCs.html,https://docs.outscale.com/api#3ds-outscale-api-subnet
subregion,a,subregion,subregions,https://docs.outscale.com/en/userguide/About-Regions-Endpoints-and-Availability-Zones.html,https://docs.outscale.com/api#readsubregions
virtual_gateway_link,a,virtual gateway link,virtual gateway links,https://docs.outscale.com/en/userguide/About-Virtual-Private-Gateways.html,https://docs.outscale.com/api#3ds-outscale-api-virtualgateway
virtual_gateway_route_propagation,a,virtual gateway route propagation,virtual gateway route propagations,https://docs.outscale.com/en/userguide/About-Routing-Configuration-for-VPN-Connections.html,https://docs.outscale.com/api#updateroutepropagation
virtual_gateway,a,virtual gateway,virtual gateways,https://docs.outscale.com/en/userguide/About-Virtual-Private-Gateways.html,https://docs.outscale.com/api#3ds-outscale-api-virtualgateway
vm_state,a,VM state,VM states,https://docs.outscale.com/en/userguide/About-Instance-Lifecycle.html,https://docs.outscale.com/api#readvmsstate
vm_type,a,VM type,VM types,https://docs.outscale.com/en/userguide/Instance-Types.html,https://docs.outscale.com/api#readvmtypes
