clés,articles (description),Forme complète (description),Forme complète plurielle (description),lien UG,LINK API
access_key,an,access key,access keys,https://wiki.outscale.net/display/EN/About+Access+Keys,https://docs.outscale.com/api#3ds-outscale-api-accesskey
client_gateway,a,client gateway,client gateways,https://wiki.outscale.net/display/EN/About+Customer+Gateways,https://docs.outscale.com/api#3ds-outscale-api-clientgateway
dhcp_options_link,a,DHCP options link,DHCP options links,https://wiki.outscale.net/display/EN/About+DHCP+Options,https://docs.outscale.com/api#updatenet
dhcp_options,a,DHCP option,DHCP options,https://wiki.outscale.net/display/EN/About+DHCP+Options,https://docs.outscale.com/api#3ds-outscale-api-dhcpoption
flexible_gpu,a,flexible GPU,flexible GPUs,https://wiki.outscale.net/display/EN/About+Flexible+GPUs,https://docs.outscale.com/api#3ds-outscale-api-flexiblegpu
image_launch_permission,an,image launch permission,image launch permissions,https://wiki.outscale.net/display/EN/About+OMIs,https://docs.outscale.com/api#3ds-outscale-api-image
image,an,image,images,https://wiki.outscale.net/display/EN/About+OMIs,https://docs.outscale.com/api#3ds-outscale-api-image
internet_service_link,an,Internet service link,Internet service links,https://wiki.outscale.net/display/EN/About+Internet+Gateways,https://docs.outscale.com/api#3ds-outscale-api-internetservice
internet_service,an,Internet service,Internet services,https://wiki.outscale.net/display/EN/About+Internet+Gateways,https://docs.outscale.com/api#3ds-outscale-api-internetservice
keypair,a,keypair,keypairs,https://wiki.outscale.net/display/EN/About+Keypairs,https://docs.outscale.com/api#3ds-outscale-api-keypair
load_balancer_listener,a,load balancer listener,load balancer listeners,?,https://docs.outscale.com/api#3ds-outscale-api-listener
load_balancer_policy,a,load balancer policy,load balancer policies,?,https://docs.outscale.com/api#3ds-outscale-api-loadbalancerpolicy
load_balancer,a,load balancer,load balancers,https://wiki.outscale.net/display/EN/About+Load+Balancers,https://docs.outscale.com/api#3ds-outscale-api-loadbalancer
nat_service,a,NAT service,NAT services,https://wiki.outscale.net/display/EN/About+NAT+Devices,https://docs.outscale.com/api#3ds-outscale-api-natservice
net_attributes,a,Net attribute,Net attributes,https://wiki.outscale.net/display/EN/About+DHCP+Options,https://docs.outscale.com/api#3ds-outscale-api-net
net_peering_acception,a,Net peering acception,Net peering acceptions,https://wiki.outscale.net/display/EN/About+VPC+Peering+Connections,https://docs.outscale.com/api#3ds-outscale-api-netpeering
net_peering,a,Net peering,Net peerings,https://wiki.outscale.net/display/EN/About+VPC+Peering+Connections,https://docs.outscale.com/api#3ds-outscale-api-netpeering
net,a,Net,Nets,https://wiki.outscale.net/display/EN/About+VPCs,https://docs.outscale.com/api#3ds-outscale-api-net
nic_link,a,NIC link,NIC links,https://wiki.outscale.net/display/EN/About+FNIs,https://docs.outscale.com/api#3ds-outscale-api-nic
nic_private_ip,a,NIC private IP,NIC private IPs,https://wiki.outscale.net/display/EN/About+FNIs,https://docs.outscale.com/api#3ds-outscale-api-nic
nic,a,network interface card (NIC),network interface card (NICs),https://wiki.outscale.net/display/EN/About+FNIs,https://docs.outscale.com/api#3ds-outscale-api-nic
product_type,a,product type,product types,?,https://docs.outscale.com/api#3ds-outscale-api-producttype
public_ip_link,a,public IP link,public IP links,https://wiki.outscale.net/display/EN/About+EIPs,https://docs.outscale.com/api#3ds-outscale-api-publicip
public_ip,a,public IP,public IPs,https://wiki.outscale.net/display/EN/About+EIPs,https://docs.outscale.com/api#3ds-outscale-api-publicip
quota,a,quota,quotas,https://wiki.outscale.net/display/EN/About+Your+3DS+OUTSCALE+Account#AboutYour3DSOUTSCALEAccount-quotasQuotasandConsumption,https://docs.outscale.com/api#3ds-outscale-api-quota
route_table_link,a,route table link,route table links,https://wiki.outscale.net/display/EN/About+Route+Tables,https://docs.outscale.com/api#3ds-outscale-api-routetable
route_table,a,route table,route tables,https://wiki.outscale.net/display/EN/About+Route+Tables,https://docs.outscale.com/api#3ds-outscale-api-routetable
route,a,route,routes,https://wiki.outscale.net/display/EN/About+Route+Tables#AboutRouteTables-RoutesRoutesandRoutingOptions,https://docs.outscale.com/api#3ds-outscale-api-route
security_group_rule,a,security group rule,security group rules,https://wiki.outscale.net/display/EN/About+Security+Group+Rules,https://docs.outscale.com/api#3ds-outscale-api-securitygrouprule
security_group,a,security group,security groups,https://wiki.outscale.net/display/EN/About+Security+Groups,https://docs.outscale.com/api#3ds-outscale-api-securitygroup
snapshot_attributes,a,snapshot attribute,snapshot attributes,https://wiki.outscale.net/display/EN/About+Snapshots,https://docs.outscale.com/api#3ds-outscale-api-snapshot
snapshot_export_task,a,snapshot export task,snapshot export tasks,https://wiki.outscale.net/display/EN/About+Snapshots,https://docs.outscale.com/api#3ds-outscale-api-snapshot
